"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","FlipKart Product Sort By Functionality","","0","0","1","0","0"
"","Shopping for HP laptops on Amazon","","0","0","1","0","0"
"","Add two items in the cart","","0","0","2","0","0"
"","Amazon product search and sort functionality","","0","0","1","0","0"
"","Manage items in Amazon cart and save for later","","0","1","0","0","0"
"","FlipKart Product Search Functionality","","0","0","1","0","0"
"","FlipKart Apply Filters and Add To Cart Functionality","","0","0","1","0","0"
"","Amazon product search functionality","","0","0","1","0","0"
"","FlipKart Add To Cart Functionality","","0","0","1","0","0"
"","FlipKart Add 2 items and Remove items from the cart Functionality","","0","0","1","0","0"
"","Amazon add to cart functionality","","0","0","1","0","0"
