"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 05 12:39:38 IST 2024","Mon Aug 05 12:40:03 IST 2024","25424","","FlipKart Product Sort By Functionality","","","","Verify the searched product",""
"passed","Mon Aug 05 12:35:36 IST 2024","Mon Aug 05 12:36:08 IST 2024","32592","","Shopping for HP laptops on Amazon","","","","Navigate to Electronics, search for HP laptops, and add one to the cart",""
"passed","Mon Aug 05 12:33:48 IST 2024","Mon Aug 05 12:34:14 IST 2024","25754","","Add two items in the cart","","","","Verify details after adding a product in cart",""
"passed","Mon Aug 05 12:33:24 IST 2024","Mon Aug 05 12:33:41 IST 2024","17180","","Add two items in the cart","","","","Verify details after adding two product in cart",""
"passed","Mon Aug 05 12:34:44 IST 2024","Mon Aug 05 12:34:54 IST 2024","9970","","Amazon product search and sort functionality","","","","Verify the search product",""
"broken","Mon Aug 05 12:35:00 IST 2024","Mon Aug 05 12:35:30 IST 2024","30049","","Manage items in Amazon cart and save for later","","","","Add item to cart, save for later, and move back to cart",""
"passed","Mon Aug 05 12:39:25 IST 2024","Mon Aug 05 12:39:30 IST 2024","5638","","FlipKart Product Search Functionality","","","","Verify the searched product",""
"passed","Mon Aug 05 12:36:14 IST 2024","Mon Aug 05 12:37:12 IST 2024","57990","","FlipKart Apply Filters and Add To Cart Functionality","","","","Verify filter condition and view the product",""
"passed","Mon Aug 05 12:33:09 IST 2024","Mon Aug 05 12:33:16 IST 2024","7597","","Amazon product search functionality","","","","Verify the search product",""
"passed","Mon Aug 05 12:38:42 IST 2024","Mon Aug 05 12:39:19 IST 2024","36902","","FlipKart Add To Cart Functionality","","","","Verify Add and Remove from the cart",""
"passed","Mon Aug 05 12:37:20 IST 2024","Mon Aug 05 12:38:35 IST 2024","74413","","FlipKart Add 2 items and Remove items from the cart Functionality","","","","Verify Add 2 items and Remove items from the cart",""
"passed","Mon Aug 05 12:32:36 IST 2024","Mon Aug 05 12:33:01 IST 2024","24712","","Amazon add to cart functionality","","","","Verify the product details and add to cart and remove",""
